,year,month,day,hour,Pressure,temperature,u-component of wind,v-component of wind,Relative humidity,Total cloud cover,Total precipitation,radiation flux
0,2023,2,2,0.0,1005.04931640625,8.285974121093773,4.713542938232422,-1.475351333618164,57.64946937561035,6.982421875,0.0,0.0
1,2023,2,2,0.5,1005.518798828125,8.060807800292991,4.643071174621582,-1.5265159606933594,55.19023323059082,6.25,0.0,0.0
2,2023,2,2,1.0,1005.98828125,7.83564147949221,4.572599411010742,-1.5776805877685547,52.73099708557129,5.517578125,0.0,0.0
3,2023,2,2,1.5,1006.4642944335938,7.236901855468773,3.8009204864501953,-1.150160789489746,55.71547317504883,12.2802734375,0.0,0.0
4,2023,2,2,2.0,1006.9403076171875,6.638162231445335,3.0292415618896484,-0.7226409912109375,58.69994926452637,19.04296875,0.0,0.0
5,2023,2,2,2.5,1007.5471801757812,6.206719970703148,2.9547109603881836,-0.6623492240905762,60.11069869995117,15.0390625,0.0,0.0
6,2023,2,2,3.0,1008.154052734375,5.77527770996096,2.8801803588867188,-0.6020574569702148,61.52144813537598,11.03515625,0.0,0.0
7,2023,2,2,3.5,1008.6783752441406,5.3669296264648665,2.9494123458862305,-0.6702628135681152,60.55288219451904,9.521484375,0.0,0.0
8,2023,2,2,4.0,1009.2026977539062,4.958581542968773,3.018644332885742,-0.7384681701660156,59.58431625366211,8.0078125,0.0,0.0
9,2023,2,2,4.5,1009.8911437988281,4.626649475097679,3.2467565536499023,-0.6440114974975586,56.59483337402344,4.00390625,0.0,0.0
10,2023,2,2,5.0,1010.57958984375,4.294717407226585,3.4748687744140625,-0.5495548248291016,53.605350494384766,0.0,0.0,0.0
11,2023,2,2,5.5,1011.2842712402344,4.02070007324221,3.6325864791870117,-0.8151969909667969,52.798420906066895,0.0,0.0,0.0
12,2023,2,2,6.0,1011.9889526367188,3.7466827392578352,3.790304183959961,-1.0808391571044922,51.99149131774902,0.0,0.0,0.0
13,2023,2,2,6.5,1012.7219848632812,3.488404846191429,4.014748573303223,-1.3660240173339844,51.46021556854248,0.0,0.0,1.328125
14,2023,2,2,7.0,1013.4550170898438,3.2301269531250227,4.239192962646484,-1.6512088775634766,50.92893981933594,0.0,0.0,2.65625
15,2023,2,2,7.5,1013.9689636230469,3.322114562988304,4.495612144470215,-1.5228900909423828,49.90059757232666,0.0,0.0,55.140625
16,2023,2,2,8.0,1014.48291015625,3.4141021728515852,4.752031326293945,-1.394571304321289,48.87225532531738,0.0,0.0,107.625
17,2023,2,2,8.5,1014.9052734375,3.8497100830078352,4.876289367675781,-1.2992925643920898,47.517937660217285,0.0,0.0,201.86088180541992
18,2023,2,2,9.0,1015.32763671875,4.285317993164085,5.000547409057617,-1.2040138244628906,46.16361999511719,0.0,0.0,296.09676361083984
19,2023,2,2,9.5,1015.5750732421875,4.851770019531273,4.963212013244629,-1.369135856628418,45.388790130615234,0.0,0.0,379.47551250457764
20,2023,2,2,10.0,1015.822509765625,5.41822204589846,4.925876617431641,-1.5342578887939453,44.61396026611328,0.0,0.0,462.85426139831543
21,2023,2,2,10.5,1015.7819213867188,5.900735473632835,4.94473934173584,-1.7102775573730469,43.70138359069824,0.0,0.0,522.0597577095032
22,2023,2,2,11.0,1015.7413330078125,6.38324890136721,4.963602066040039,-1.8862972259521484,42.7888069152832,0.0,0.0,581.2652540206909
23,2023,2,2,11.5,1015.4976196289062,6.752626037597679,4.96968936920166,-2.01248836517334,42.03569030761719,0.0,0.0,610.3549962043762
24,2023,2,2,12.0,1015.25390625,7.122003173828148,4.975776672363281,-2.1386795043945312,41.28257369995117,0.0,0.0,639.4447383880615
25,2023,2,2,12.5,1015.173583984375,7.325723266601585,4.991191864013672,-2.261516571044922,40.873260498046875,0.0,0.0,635.8650283813477
26,2023,2,2,13.0,1015.09326171875,7.529443359375023,5.0066070556640625,-2.3843536376953125,40.46394729614258,0.0,0.0,632.2853183746338
27,2023,2,2,13.5,1015.1752319335938,7.505738830566429,4.888899326324463,-2.560211181640625,40.549495697021484,0.0,0.0,596.1451840400696
28,2023,2,2,14.0,1015.2572021484375,7.482034301757835,4.771191596984863,-2.7360687255859375,40.63504409790039,0.0,0.0,560.0050497055054
29,2023,2,2,14.5,1015.4459533691406,7.28931579589846,4.565302848815918,-2.793071746826172,40.79726028442383,0.0,0.0,494.38156270980835
30,2023,2,2,15.0,1015.6347045898438,7.096597290039085,4.359414100646973,-2.8500747680664062,40.959476470947266,0.0,0.0,428.7580757141113
31,2023,2,2,15.5,1015.8714599609375,6.707002258300804,4.0392889976501465,-2.727543830871582,41.34855365753174,21.7041015625,0.0,339.93365025520325
32,2023,2,2,16.0,1016.1082153320312,6.317407226562523,3.7191638946533203,-2.605012893676758,41.73763084411621,43.408203125,0.0,251.10922479629517
33,2023,2,2,16.5,1016.4425354003906,5.717713928222679,3.207155227661133,-2.003993034362793,43.234500885009766,34.130859375,0.0,157.74211239814758
34,2023,2,2,17.0,1016.77685546875,5.118020629882835,2.6951465606689453,-1.4029731750488281,44.73137092590332,24.853515625,0.0,64.375
35,2023,2,2,17.5,1017.2319030761719,4.495568847656273,2.29233980178833,-0.940826416015625,47.18267250061035,17.8466796875,0.0,32.1875
36,2023,2,2,18.0,1017.6869506835938,3.8731170654297102,1.8895330429077148,-0.4786796569824219,49.63397407531738,10.83984375,0.0,0.0
37,2023,2,2,18.5,1017.9144897460938,3.287355041503929,1.659876823425293,-0.3880605697631836,53.24022197723389,11.7431640625,0.0,0.0
38,2023,2,2,19.0,1018.1420288085938,2.7015930175781477,1.430220603942871,-0.2974414825439453,56.84646987915039,12.646484375,0.0,0.0
39,2023,2,2,19.5,1018.2766723632812,2.1713653564453352,1.3472599983215332,-0.01783275604248047,63.118669509887695,11.669921875,0.0,0.0
40,2023,2,2,20.0,1018.4113159179688,1.6411376953125227,1.2642993927001953,0.2617759704589844,69.390869140625,10.693359375,0.0,0.0
41,2023,2,2,20.5,1018.6297607421875,1.6455474853515852,0.9505095481872559,0.23459529876708984,64.62414932250977,11.2060546875,0.0,0.0
42,2023,2,2,21.0,1018.8482055664062,1.6499572753906477,0.6367197036743164,0.2074146270751953,59.85742950439453,11.71875,0.0,0.0
43,2023,2,2,21.5,1018.9176635742188,1.5952392578125227,0.2616267204284668,0.15589332580566406,58.4448184967041,11.5234375,0.0,0.0
44,2023,2,2,22.0,1018.9871215820312,1.5405212402343977,-0.11346626281738281,0.10437202453613281,57.03220748901367,11.328125,0.0,0.0
45,2023,2,2,22.5,1018.9118041992188,1.470765686035179,-0.18737554550170898,0.16411781311035156,56.65129566192627,10.2294921875,0.0,0.0
46,2023,2,2,23.0,1018.8364868164062,1.4010101318359602,-0.26128482818603516,0.2238636016845703,56.27038383483887,9.130859375,0.0,0.0
47,2023,2,2,23.5,1018.7256164550781,1.1631103515625227,-0.1246490478515625,-0.40099525451660156,58.11572551727295,6.9091796875,0.0,0.0
